,Card_set,Card_number,Rarity,Card_name,Card_type,Attribute,ATK,DEF,Level,Link_no,Property,M_type1,M_type2,M_type3,M_type4,E_type1,E_type2,E_type3,E_type4,E_type5,E_type6,E_type7,E_type8,E_type9,E_type10,TCG_Banlist
1425,Shining Victories,SHVI-EN037,Common,Ryu Okami,Monster,LIGHT,2900,1200,8.0,None,nan,Wyrm , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
1426,Cosmo Blazer,CBLZ-EN029,Common,Hazy Flame Griffin,Monster,FIRE,200,2100,6.0,None,nan,Winged Beast , Effect,None,None,Unclassified, Continuous,,,,,,,,, Unlimited 
1427,Raging Battle,RGBT-EN058,Common,Psychic Path,Spell,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
1428,Phantom Darkness,PTDN-EN084,Ultra Rare,Allure of Darkness,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
1429,Rise of the Duelist,ROTD-EN023,Common,Capricious Darklord,Monster,DARK,0,1600,4.0,None,nan,Fairy , Effect,None,None,Quick, Trigger, Condition,,,,,,,, Unlimited 
1430,Starstrike Blast,STBL-EN042,Ultra Rare,Red Nova Dragon,Monster,DARK,3500,3000,12.0,None,nan,Dragon , Synchro , Effect,None,Continuous, Continuous, Trigger, Trigger,,,,,,, Unlimited 
1431,The Dark Illusion,TDIL-EN008,Common,Performapal Life Swordsman,Monster,LIGHT,0,0,1.0,None,nan,Warrior , Effect,None,None,Trigger, Ignition,,,,,,,,, Unlimited 
1432,Generation Force,GENF-EN047,Common,Thunder Short,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
1433,Blazing Vortex,BLVO-EN039,Super Rare,Parametalfoes Azortless,Monster,FIRE,2500,2000,7.0,None,nan,Psychic , Fusion , Pendulum , Effect,Pendulum Effect , Trigger-like, Condition, Monster Effect, Trigger, Condition, Trigger,,,, Unlimited 
1434,Storm of Ragnarok,STOR-EN031,Rare,Wattberyx,Monster,LIGHT,300,0,3.0,None,nan,Thunder , Tuner,None,None,Trigger,,,,,,,,,, Unlimited 
1435,Duelist Alliance,DUEA-EN071,Ultra Rare,Stellarnova Alpha,Trap,nan,,None,,None,Counter,nan,None,None,None,Activation requirement, Cost, Effect,,,,,,,, Unlimited 
1436,Magician's Force,MFC-078,Common,Dark Scorpion - Cliff the Trap Remover,Monster,DARK,1200,1000,3.0,None,nan,Warrior , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
1437,Duelist Revolution,DREV-EN064,Common,Battle Instinct,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
1438,Flaming Eternity,FET-EN036,Super Rare,King Dragun,Monster,DARK,2400,1100,7.0,None,nan,Dragon , Fusion , Effect,None,Continuous, Ignition,,,,,,,,, Unlimited 
1439,Cybernetic Horizon,CYHO-EN035,Rare,Cyberse Witch,Monster,DARK,800,None,,2,nan,Cyberse , Link , Effect,None,Trigger, Ignition, Condition,,,,,,,, Unlimited 
1440,Maximum Gold,MAGO-EN121,Rare,Gogogo Gigas,Monster,EARTH,0,2200,4.0,None,nan,Rock , Effect,None,None,Trigger, Condition, Condition,,,,,,,, Unlimited 
1441,Maximum Crisis ,MACR-EN066,Common,The Phantom Knights of Lost Vambrace,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
1442,Order of Chaos,ORCS-EN037,Super Rare,Darkstorm Dragon,Monster,DARK,2700,2500,8.0,None,nan,Dragon , Gemini , Effect,None,Unclassified, Condition, Ignition,,,,,,,, Unlimited 
1443,Force of the Breaker,FOTB-EN017,Rare,Destroyersaurus,Monster,EARTH,1800,1100,4.0,None,nan,Dinosaur , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
1444,Soul Fusion,SOFU-EN030,Rare,Gokipole,Monster,EARTH,1000,1200,3.0,None,nan,Insect , Effect,None,None,Trigger, Condition,,,,,,,,, Unlimited 
1445,Raging Tempest,RATE-EN077,Common,Purushaddoll Aeon,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
1446,Return of the Duelist,REDU-EN063,Common,Generation Force,Spell,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
1447,Order of Chaos,ORCS-EN009,Common,Photon Crusher,Monster,LIGHT,2000,0,4.0,None,nan,Warrior , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
1448,Cosmo Blazer,CBLZ-EN031,Rare,Hazy Flame Peryton,Monster,FIRE,1600,1700,6.0,None,nan,Pyro , Effect,None,None,Summoning condition, Continuous, Ignition, Condition,,,,,,, Unlimited 
1449,Raging Tempest,RATE-EN074,Common,Shiranui Style Samsara,Trap,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like, Quick-like,,,,,,,,, Unlimited 
1450,Dimension Force,DIFO-EN052,Super Rare,Extra Pendulum,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
1451,Invasion: Vengeance,INOV-EN095,Common,Paleozoic Eldonia,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Quick-like, Condition,,,,,,,, Unlimited 
1452,Code of the Duelist,COTD-EN045,Super Rare,Gouki The Great Ogre,Monster,EARTH,2600,None,,3,nan,Warrior , Link , Effect,None,Continuous, Continuous,,,,,,,,, Unlimited 
1453,Extreme Force,EXFO-EN032,Rare,Ghost Bird of Bewitchment,Monster,DARK,1300,1500,4.0,None,nan,Winged Beast , Effect,None,None,Condition, Continuous, Continuous, Continuous, Continuous,,,,,, Unlimited 
1454,Eternity Code,ETCO-EN079,Secret Rare,Titanocider,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Trigger-like, Condition,,,,,,,, Unlimited 
1455,Circuit Break,CIBR-EN052,Common,Mistar Boy,Monster,WATER,1400,None,,2,nan,Aqua , Link , Effect,None,Continuous, Trigger, Condition,,,,,,,, Unlimited 
1456,Dimension of Chaos,DOCS-EN076,Secret Rare,Blazing Mirror Force,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
1457,Labyrinth of Nightmare,LON-042,Common,Hysteric Fairy,Monster,LIGHT,1800,500,4.0,None,nan,Fairy , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
1458,Eternity Code,ETCO-EN044,Super Rare,Valiant Shark Lancer,Monster,WATER,2500,1600,5.0,None,nan,Beast-Warrior , Xyz , Effect,None,Ignition, Condition, Trigger, Condition,,,,,,, Unlimited 
1459,The Shining Darkness,TSHD-EN013,Common,Infernity Randomizer,Monster,DARK,900,0,1.0,None,nan,Warrior , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
1460,Judgment of the Light,JOTL-EN023,Ultra Rare,Mecha Phantom Beast Blue Impala,Monster,WIND,1400,1100,3.0,None,nan,Machine , Tuner , Effect,None,Condition, Condition, Continuous, Ignition,,,,,,, Unlimited 
1461,Dimension of Chaos,DOCS-EN027,Common,Majespecter Crow - Yata,Monster,WIND,1000,1500,4.0,None,nan,Spellcaster , Pendulum , Effect,None,Trigger, Condition, Continuous,,,,,,,, Unlimited 
1462,Shadow of Infinity,SOI-EN040,Common,Ancient Gear Drill,Spell,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Cost, Effect, Condition,,,,,,, Unlimited 
1463,Abyss Rising,ABYR-EN031,Common,Nimble Angler,Monster,WATER,600,100,2.0,None,nan,Fish , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
1464,Maximum Gold,MAGO-EN135,Rare,Linkuriboh,Monster,DARK,300,None,,1,nan,Cyberse , Link , Effect,None,Trigger, Quick, Condition,,,,,,,, Unlimited 
1465,Phantom Rage,PHRA-EN083,Common,"Periallis, Empress of Blossoms",Monster,LIGHT,1600,2400,7.0,None,nan,Plant , Synchro , Effect,None,Continuous, Ignition, Condition,,,,,,,, Unlimited 
1466,Invasion: Vengeance,INOV-EN086,Rare,Charming Resort Staff,Monster,LIGHT,300,200,3.0,None,nan,Fairy , Effect,None,None,Trigger, Trigger, Trigger,,,,,,,, Unlimited 
1467,Chaos Impact,CHIM-EN008,Rare,Unchained Twins - Aruha,Monster,FIRE,1500,1500,3.0,None,nan,Fiend , Effect,None,None,Ignition, Trigger, Condition,,,,,,,, Unlimited 
1468,Magician's Force,MFC-024,Rare,Great Phantom Thief,Monster,EARTH,1000,1000,3.0,None,nan,Spellcaster , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
1469,Ghosts From the Past: The 2nd Haunting,GFP2-EN006,Ultra Rare,Borrelend Dragon,Monster,DARK,3500,None,,5,nan,Dragon , Link , Effect,None,Continuous, Continuous, Quick, Condition,,,,,,, Unlimited 
1470,Flaming Eternity,FET-EN015,Rare,Big-Tusked Mammoth,Monster,EARTH,2000,1000,5.0,None,nan,Beast , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
1471,Maximum Gold,MAGO-EN021,Premium Gold Rare,Laundry Dragonmaid,Monster,WATER,500,1600,2.0,None,nan,Dragon , Effect,None,None,Trigger, Trigger, Condition,,,,,,,, Unlimited 
1472,Ghosts From the Past: The 2nd Haunting,GFP2-EN131,Ultra Rare,"Yazi, Evil of the Yang Zing",Monster,DARK,2600,2100,7.0,None,nan,Wyrm , Synchro , Effect,None,Continuous, Condition, Ignition, Trigger,,,,,,, Unlimited 
1473,Phantom Rage,PHRA-EN000,Common,Myutant Cry,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
1474,Rise of Destiny,RDS-EN021,Super Rare,Thestalos the Firestorm Monarch,Monster,FIRE,2400,1000,6.0,None,nan,Pyro , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
1475,Code of the Duelist,COTD-EN055,Common,Air Cracking Storm,Spell,nan,,None,,None,Equip,nan,None,None,None,Condition, Trigger-like, Condition,,,,,,,, Unlimited 
1476,Gladiator's Assault,GLAS-EN048,Rare,Diamond-Dust Cyclone,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
1477,Gladiator's Assault,GLAS-EN039,Ultra Rare,Evil HERO Lightning Golem,Monster,LIGHT,2400,1500,6.0,None,nan,Fiend , Fusion , Effect,None,Summoning condition, Ignition,,,,,,,,, Unlimited 
1478,Shining Victories,SHVI-EN031,Super Rare,Amorphage Goliath,Monster,EARTH,2750,0,8.0,None,nan,Dragon , Pendulum , Effect,None,Pendulum Effect , Continuous-like, Maintenance cost, Monster Effect, Continuous,,,,,, Unlimited 
1479,Extreme Force,EXFO-EN082,Super Rare,Vendread Battlelord,Monster,DARK,2700,0,7.0,None,nan,Zombie , Ritual , Effect,None,Summoning condition, Ignition, Trigger, Condition,,,,,,, Unlimited 
1480,Primal Origin,PRIO-EN002,Common,Galaxy Mirror Sage,Monster,LIGHT,0,800,3.0,None,nan,Spellcaster , Flip , Effect,None,Flip, Trigger,,,,,,,,, Unlimited 
1481,Labyrinth of Nightmare,LON-044,Common,The Forgiving Maiden,Monster,LIGHT,850,2000,4.0,None,nan,Fairy , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
1482,Legendary Duelists: Synchro Storm,LED8-EN054,Rare,Totem Bird,Monster,WIND,1900,1400,3.0,None,nan,Winged Beast , Xyz , Effect,None,Quick, Continuous,,,,,,,,, Unlimited 
1483,Raging Tempest,RATE-EN040,Rare,Windwitch - Crystal Bell,Monster,WIND,2800,2400,8.0,None,nan,Spellcaster , Fusion , Effect,None,Ignition, Quick, Condition,,,,,,,, Unlimited 
1484,Cosmo Blazer,CBLZ-EN072,Common,Fire Formation - Tenken,Trap,nan,,None,,None,Continuous,nan,None,None,None,Activation requirement, Effect, Continuous-like,,,,,,,, Unlimited 
1485,Phantom Darkness,PTDN-EN074,Ultra Rare,Drastic Drop Off,Trap,nan,,None,,None,Counter,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
1486,Labyrinth of Nightmare,LON-075,Common,Supply,Monster,EARTH,1300,800,4.0,None,nan,Warrior , Effect,None,None,Flip,,,,,,,,,, Unlimited 
1487,Magician's Force,MFC-045,Common,Pineapple Blast,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
1488,Burst of Destiny,BODE-EN050,Ultra Rare,Borrelcode Dragon,Monster,DARK,2500,None,,3,nan,Dragon , Link , Effect,None,Continuous, Condition, Trigger, Ignition,,,,,,, Unlimited 
1489,Rise of Destiny,RDS-EN060,Rare,Covering Fire,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
1490,Return of the Duelist,REDU-EN073,Common,Xyz Soul,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
1491,Enemy of Justice,EOJ-EN020,Common,Bountiful Artemis,Monster,LIGHT,1600,1700,4.0,None,nan,Fairy , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
1492,Legacy of Darkness,LOD-064,Short Print,Maharaghi,Monster,EARTH,1200,1700,4.0,None,nan,Rock , Spirit,None,None,Summoning condition, Trigger, Trigger,,,,,,,, Unlimited 
1493,Dark Crisis,DCR-098,Rare,Dark Scorpion Combination,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
1494,Legacy of Darkness,LOD-067,Ultra Rare,Yamata Dragon,Monster,FIRE,2600,3100,7.0,None,nan,Dragon , Spirit,None,None,Summoning condition, Trigger, Trigger,,,,,,,, Unlimited 
1495,Legacy of Darkness,LOD-036,Common,Spirit Ryu,Monster,WIND,1000,1000,4.0,None,nan,Dragon , Effect,None,None,Quick,,,,,,,,,, Unlimited 
1496,Clash of Rebellions,CORE-EN010,Super Rare,Fluffal Mouse,Monster,EARTH,100,100,1.0,None,nan,Fairy , Effect,None,None,Ignition, Condition, Condition,,,,,,,, Unlimited 
1497,Invasion: Vengeance,INOV-EN006,Rare,Predaplant Flytrap,Monster,DARK,400,800,2.0,None,nan,Plant , Effect,None,None,Ignition, Trigger,,,,,,,,, Unlimited 
1498,Legacy of the Valiant,LVAL-EN037,Rare,Nikitama,Monster,LIGHT,800,1800,4.0,None,nan,Fairy , Spirit,None,None,Summoning condition, Trigger, Unclassified, Trigger, Condition,,,,,, Unlimited 
1499,Legendary Duelists: Synchro Storm,LED8-EN045,Rare,Lyrilusc - Assembled Nightingale,Monster,WIND,0,0,1.0,None,nan,Winged Beast , Xyz , Effect,None,Continuous, Continuous, Continuous, Quick,,,,,,, Unlimited 
1500,Duelist Revolution,DREV-EN004,Common,Damage Eater,Monster,DARK,100,800,2.0,None,nan,Fiend , Effect,None,None,Quick,,,,,,,,,, Unlimited 
1501,Circuit Break,CIBR-EN071,Super Rare,Altergeist Protocol,Trap,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like, Quick-like, Condition,,,,,,,, Unlimited 
1502,Power of the Duelist,POTD-EN009,Common,Ambulanceroid,Monster,EARTH,300,1200,3.0,None,nan,Machine , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
1503,Ghosts From the Past: The 2nd Haunting,GFP2-EN046,Ultra Rare,Mystical Shine Ball,Monster,LIGHT,500,500,2.0,None,nan,Fairy , Normal,None,None,nan,,,,,,,,,, Unlimited 
1504,Return of the Duelist,REDU-EN044,Ultra Rare,Superdimensional Robot Galaxy Destroyer,Monster,LIGHT,5000,2000,10.0,None,nan,Machine , Xyz , Effect,None,Ignition, Condition,,,,,,,,, Unlimited 
1505,Legend of Blue Eyes White Dragon,LOB-122,Ultra Rare,Right Arm of the Forbidden One,Monster,DARK,200,300,1.0,None,nan,Spellcaster , Normal,None,None,nan,,,,,,,,,, Limited 
1506,Ghosts From the Past: The 2nd Haunting,GFP2-EN042,Ultra Rare,"Victorica, Angel of Bravery",Monster,LIGHT,1400,800,4.0,None,nan,Fairy , Effect,None,None,Trigger, Trigger, Condition,,,,,,,, Unlimited 
1507,Crimson Crisis,CRMS-EN015,Super Rare,Black Salvo,Monster,DARK,100,1100,3.0,None,nan,Machine , Tuner , Effect,None,Trigger,,,,,,,,,, Unlimited 
1508,Rise of Destiny,RDS-EN012,Ultra Rare,Perfect Machine King,Monster,EARTH,2700,1500,8.0,None,nan,Machine , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
1509,Strike of Neos,STON-EN045,Common,Advanced Ritual Art,Spell,nan,,None,,None,Ritual,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
1510,Shadow Specters,SHSP-EN026,Common,Bujingi Centipede,Monster,LIGHT,1700,500,4.0,None,nan,Beast , Effect,None,None,Ignition, Condition,,,,,,,,, Unlimited 
1511,Cosmo Blazer,CBLZ-EN038,Common,Inari Fire,Monster,FIRE,1500,200,4.0,None,nan,Pyro , Effect,None,None,Unclassified, Unclassified, Trigger,,,,,,,, Unlimited 
1512,Rise of the Duelist,ROTD-EN049,Common,Galloping Gaia,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like, Ignition-like, Condition,,,,,,,, Unlimited 
1513,Enemy of Justice,EOJ-EN026,Common,Avalanching Aussa,Monster,EARTH,800,1500,4.0,None,nan,Spellcaster , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
1514,The Dark Illusion,TDIL-EN037,Super Rare,Spell Strider,Monster,EARTH,1800,600,4.0,None,nan,Warrior , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
1515,The Dark Illusion,TDIL-EN078,Short Print,Unified Front,Trap,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect, Condition,,,,,,,, Unlimited 
1516,Cosmo Blazer,CBLZ-EN028,Common,Hazy Flame Cerbereus,Monster,FIRE,2000,200,6.0,None,nan,Beast , Effect,None,None,Unclassified, Continuous, Trigger,,,,,,,, Unlimited 
1517,Maximum Gold,MAGO-EN083,Rare,Noble Knight Brothers,Monster,LIGHT,1200,2400,4.0,None,nan,Warrior , Effect,None,None,Continuous, Trigger, Ignition,,,,,,,, Unlimited 
1518,Crossroads of Chaos,CSOC-EN020,Common,Iron Chain Coil,Monster,EARTH,1100,1600,3.0,None,nan,Machine , Tuner,None,None,Ignition,,,,,,,,,, Unlimited 
1519,Duelist Revolution,DREV-EN092,Secret Rare,Ally of Justice Cyclone Creator,Monster,DARK,1400,1200,3.0,None,nan,Machine , Tuner,None,None,Ignition,,,,,,,,,, Unlimited 
1520,Elemental Energy,EEN-EN047,Common,Boss Rush,Spell,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like, Trigger-like,,,,,,,,, Unlimited 
1521,Dimension of Chaos,DOCS-EN036,Rare,Skilled Red Magician,Monster,DARK,1600,1600,4.0,None,nan,Spellcaster , Effect,None,None,Continuous, Ignition, Ignition,,,,,,,, Unlimited 
1522,Absolute Powerforce,ABPF-EN034,Common,Gundari,Monster,FIRE,1000,200,4.0,None,nan,Pyro , Spirit,None,None,Summoning condition, Trigger, Trigger,,,,,,,, Unlimited 
1523,Dimension Force,DIFO-EN029,Common,Amphibious Bugroth MK-11,Monster,WATER,1850,1500,5.0,None,nan,Machine , Effect,None,None,Continuous, Ignition, Condition,,,,,,,, Unlimited 
1524,Judgment of the Light,JOTL-EN008,Common,Super Defense Robot Monki,Monster,EARTH,800,1200,3.0,None,nan,Machine , Effect,None,None,Trigger, Ignition,,,,,,,,, Unlimited 
1525,Ghosts From the Past: The 2nd Haunting,GFP2-EN154,Ultra Rare,Zombie World,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like, Continuous-like,,,,,,,,, Unlimited 
1526,Phantom Rage,PHRA-EN014,Super Rare,Dual Avatar Fists - Yuhi,Monster,LIGHT,1800,1000,4.0,None,nan,Warrior , Effect,None,None,Ignition, Trigger, Condition,,,,,,,, Unlimited 
1527,Rising Rampage,RIRA-EN058,Rare,Flawless Perfection of the Tenyi,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like, Trigger-like,,,,,,,,, Unlimited 
1528,Invasion of Chaos,IOC-059,Common,Sea Serpent Warrior of Darkness,Monster,WATER,1800,1500,4.0,None,nan,Sea Serpent,None,None,None,nan,,,,,,,,,, Unlimited 
1529,Elemental Energy,EEN-EN015,Super Rare,Water Dragon,Monster,WATER,2800,2600,8.0,None,nan,Sea Serpent , Effect,None,None,Summoning condition, Summoning condition, Continuous, Trigger,,,,,,, Unlimited 
1530,The Shining Darkness,TSHD-EN024,Common,Lyna the Light Charmer,Monster,LIGHT,500,1500,3.0,None,nan,Spellcaster , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
1531,Legendary Duelists: Synchro Storm,LED8-EN009,Common,Speedroid Terrortop,Monster,WIND,1200,600,3.0,None,nan,Machine , Effect,None,None,Unclassified, Trigger, Condition,,,,,,,, Limited 
1532,Flaming Eternity,FET-EN035,Ultra Rare,Gatling Dragon,Monster,DARK,2600,1200,8.0,None,nan,Machine , Fusion , Effect,None,Ignition,,,,,,,,,, Unlimited 
1533,The Duelist Genesis,TDGS-EN034,Super Rare,Kinka-byo,Monster,DARK,400,200,1.0,None,nan,Beast , Spirit , Effect,None,Summoning condition, Trigger, Trigger,,,,,,,, Unlimited 
1534,Dark Neostorm,DANE-EN028,Common,Cupid Dunk,Monster,LIGHT,1800,600,4.0,None,nan,Fairy , Effect,None,None,Continuous, Trigger,,,,,,,,, Unlimited 
1535,Metal Raiders,MRD-101,Common,Insect Soldiers of the Sky,Monster,WIND,1000,800,3.0,None,nan,Insect , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
1536,Primal Origin,PRIO-EN053,Rare,Phantom Fortress Enterblathnir,Monster,WIND,2900,2500,9.0,None,nan,Machine , Xyz , Effect,None,Ignition,,,,,,,,,, Unlimited 
1537,Cosmo Blazer,CBLZ-EN017,Rare,Heraldic Beast Leo,Monster,EARTH,2000,1000,4.0,None,nan,Beast , Effect,None,None,Trigger, Trigger, Condition,,,,,,,, Unlimited 
1538,Starstrike Blast,STBL-EN011,Common,Extra Veiler,Monster,LIGHT,600,200,2.0,None,nan,Spellcaster , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
1539,Primal Origin,PRIO-EN000,Super Rare,Artifact Scythe,Monster,LIGHT,2200,900,5.0,None,nan,Fairy , Effect,None,None,Unclassified, Trigger, Trigger,,,,,,,, Unlimited 
1540,Generation Force,GENF-EN082,Ultra Rare,Piercing Moray,Monster,WATER,1500,500,4.0,None,nan,Fish , Effect,None,None,Ignition, Continuous,,,,,,,,, Unlimited 
1541,Stardust Overdrive,SOVR-EN015,Common,Dark Spider,Monster,DARK,0,0,1.0,None,nan,Insect , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
1542,Light of Destruction,LODT-EN035,Rare,Diskblade Rider,Monster,WIND,1700,1500,4.0,None,nan,Fiend , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
1543,Dark Crisis,DCR-038,Common,Precious Cards from Beyond,Spell,nan,,None,,None,Continuous,nan,None,None,None,Trigger-like,,,,,,,,,, Unlimited 
1544,Shadow Specters,SHSP-EN066,Rare,Swords at Dawn,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect, Lingering, Lingering, Condition,,,,,,, Unlimited 
1545,Extreme Force,EXFO-EN090,Rare,Masterking Archfiend,Monster,DARK,2000,None,,2,nan,Fiend , Link , Effect,None,Maintenance cost, Trigger, Trigger,,,,,,,, Unlimited 
1546,Power of the Duelist,POTD-EN017,Rare,Destiny HERO - Dasher,Monster,DARK,2100,1000,6.0,None,nan,Warrior , Effect,None,None,Ignition, Continuous, Trigger, Condition,,,,,,, Unlimited 
1547,Blazing Vortex,BLVO-EN065,Secret Rare,Pot of Prosperity,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition, Condition,,,,,,,, Unlimited 
1548,The Dark Illusion,TDIL-EN024,Rare,Metalfoes Volflame,Monster,FIRE,2400,2000,7.0,None,nan,Psychic , Pendulum , Normal,None,Pendulum Effect , Ignition-like,,,,,,,,, Unlimited 
1549,The Shining Darkness,TSHD-EN054,Common,Wattcube,Spell,nan,,None,,None,Equip,nan,None,None,None,Condition, Continuous-like, Ignition-like,,,,,,,, Unlimited 
1550,Order of Chaos,ORCS-EN061,Common,Xyz Burst,Spell,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
1551,Shadow of Infinity,SOI-EN055,Common,Generation Shift,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
1552,Flames of Destruction,FLOD-EN061,Common,Restoration of the Monarchs,Spell,nan,,None,,None,Equip,nan,None,None,None,Effect, Continuous-like, Continuous-like, Condition,,,,,,, Unlimited 
